Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.23% of 4.39 seconds

index % time    self  children    called     name
                0.00    4.37       3/3           lireFichiers() [2]
[1]     99.5    0.00    4.37       3         getMeilleureDate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [1]
                0.00    4.36    1503/1503        Bierwirth::rechercheLocale(Data&) [4]
                0.00    0.00    1503/3006        Bierwirth::Bierwirth(int, int) [97]
                0.00    0.00    1500/4506        Bierwirth::shuffle() [86]
                0.00    0.00    1500/3006        Bierwirth::~Bierwirth() [102]
                0.00    0.00      13/25176       Data::operator=(Data const&) [46]
                0.00    0.00      13/193658      Bierwirth::operator=(Bierwirth const&) [14]
                0.00    0.00       3/3           Data::lireInstance(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [118]
                0.00    0.00    1503/1503        Data::getM() const [385]
                0.00    0.00    1503/1503        Data::getN() const [386]
                0.00    0.00       3/4           Data::Data() [417]
                0.00    0.00       3/1506        Data::Data(Data const&) [372]
-----------------------------------------------
                0.00    4.37       1/1           main [3]
[2]     99.5    0.00    4.37       1         lireFichiers() [2]
                0.00    4.37       3/3           getMeilleureDate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [1]
                0.00    0.00       6/6           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned int) [412]
                0.00    0.00       4/4           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const [419]
                0.00    0.00       3/3           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [440]
                0.00    0.00       1/1           std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator() [450]
                0.00    0.00       1/1           std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [464]
                0.00    0.00       1/1           std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator() [452]
                0.00    0.00       1/1           std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [473]
                0.00    0.00       1/4           Data::Data() [417]
-----------------------------------------------
                                                 <spontaneous>
[3]     99.5    0.00    4.37                 main [3]
                0.00    4.37       1/1           lireFichiers() [2]
-----------------------------------------------
                0.00    4.36    1503/1503        getMeilleureDate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [1]
[4]     99.4    0.00    4.36    1503         Bierwirth::rechercheLocale(Data&) [4]
                0.29    3.67  169985/169985      Bierwirth::evaluate(Data&) [5]
                0.07    0.16  336964/336964      Bierwirth::getPositionOperation(Data const&, Operation*) [10]
                0.00    0.08  193645/193658      Bierwirth::operator=(Bierwirth const&) [14]
                0.00    0.04   26666/26666       Bierwirth::rechercheMorceauxInteressants(std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >&) [23]
                0.00    0.02   25163/25176       Data::operator=(Data const&) [46]
                0.00    0.02   26666/26666       Bierwirth::cheminCritique() [53]
                0.01    0.00  336964/336964      std::_List_iterator<std::pair<Operation*, Operation*> >::operator->() const [83]
                0.00    0.00  336964/1382047     std::vector<int, std::allocator<int> >::begin() [52]
                0.00    0.00    1503/3006        Bierwirth::Bierwirth(int, int) [97]
                0.00    0.00    1503/3006        Bierwirth::~Bierwirth() [102]
                0.00    0.00    1503/1503        std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::~list() [110]
                0.00    0.00  336964/637364      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(int) const [171]
                0.00    0.00  195148/557216      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::end() [173]
                0.00    0.00  195148/195148      std::_List_iterator<std::pair<Operation*, Operation*> >::operator!=(std::_List_iterator<std::pair<Operation*, Operation*> > const&) const [239]
                0.00    0.00  168482/447258      void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [188]
                0.00    0.00  168482/168482      std::_List_iterator<std::pair<Operation*, Operation*> >::operator++() [265]
                0.00    0.00   26666/26666       std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::begin() [288]
                0.00    0.00    1503/1503        std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::list() [393]
                0.00    0.00    1503/1503        std::_List_iterator<std::pair<Operation*, Operation*> >::_List_iterator() [389]
                0.00    0.00    1503/1506        Data::Data(Data const&) [372]
                0.00    0.00    1503/1510        Data::~Data() [361]
-----------------------------------------------
                0.29    3.67  169985/169985      Bierwirth::rechercheLocale(Data&) [4]
[5]     90.1    0.29    3.67  169985         Bierwirth::evaluate(Data&) [5]
                1.41    1.66 8471623/8471623     Bierwirth::trouverMachinePrec(std::vector<Operation*, std::allocator<Operation*> >&, int, int) [6]
                0.21    0.00 148176948/176158688     std::vector<int, std::allocator<int> >::operator[](unsigned int) [9]
                0.01    0.10  509955/846919      std::vector<int, std::allocator<int> >::resize(unsigned int, int) [11]
                0.07    0.00 55413281/55413881     std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int) [16]
                0.07    0.00 55413281/55413921     std::vector<std::vector<Operation, std::allocator<Operation> >, std::allocator<std::vector<Operation, std::allocator<Operation> > > >::operator[](unsigned int) [15]
                0.00    0.04  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::resize(unsigned int, Operation*) [26]
                0.03    0.00 23941750/1009599233     std::vector<Operation*, std::allocator<Operation*> >::operator[](unsigned int) [7]
                0.02    0.00 11970875/11970875     int const& std::max<int>(int const&, int const&) [34]
                0.02    0.00 11970875/11970875     Operation::setPere(Operation*) [33]
                0.01    0.00 11970875/325877401     Operation::getNumeroMachine() const [8]
                0.00    0.01  509955/849925      std::vector<int, std::allocator<int> >::vector() [74]
                0.00    0.01  509955/849925      std::vector<int, std::allocator<int> >::~vector() [75]
                0.01    0.00 11970875/11970875     Operation::getDuree() const [91]
                0.00    0.00  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::vector() [263]
                0.00    0.00  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::~vector() [264]
-----------------------------------------------
                1.41    1.66 8471623/8471623     Bierwirth::evaluate(Data&) [5]
[6]     70.0    1.41    1.66 8471623         Bierwirth::trouverMachinePrec(std::vector<Operation*, std::allocator<Operation*> >&, int, int) [6]
                1.39    0.00 985657483/1009599233     std::vector<Operation*, std::allocator<Operation*> >::operator[](unsigned int) [7]
                0.27    0.00 313906526/325877401     Operation::getNumeroMachine() const [8]
-----------------------------------------------
                0.03    0.00 23941750/1009599233     Bierwirth::evaluate(Data&) [5]
                1.39    0.00 985657483/1009599233     Bierwirth::trouverMachinePrec(std::vector<Operation*, std::allocator<Operation*> >&, int, int) [6]
[7]     32.3    1.42    0.00 1009599233         std::vector<Operation*, std::allocator<Operation*> >::operator[](unsigned int) [7]
-----------------------------------------------
                0.01    0.00 11970875/325877401     Bierwirth::evaluate(Data&) [5]
                0.27    0.00 313906526/325877401     Bierwirth::trouverMachinePrec(std::vector<Operation*, std::allocator<Operation*> >&, int, int) [6]
[8]      6.5    0.28    0.00 325877401         Operation::getNumeroMachine() const [8]
-----------------------------------------------
                0.04    0.00 27981740/176158688     Bierwirth::getPositionOperation(Data const&, Operation*) [10]
                0.21    0.00 148176948/176158688     Bierwirth::evaluate(Data&) [5]
[9]      5.7    0.25    0.00 176158688         std::vector<int, std::allocator<int> >::operator[](unsigned int) [9]
-----------------------------------------------
                0.07    0.16  336964/336964      Bierwirth::rechercheLocale(Data&) [4]
[10]     5.2    0.07    0.16  336964         Bierwirth::getPositionOperation(Data const&, Operation*) [10]
                0.00    0.06  336964/846919      std::vector<int, std::allocator<int> >::resize(unsigned int, int) [11]
                0.04    0.00 27981740/176158688     std::vector<int, std::allocator<int> >::operator[](unsigned int) [9]
                0.03    0.00 7744490/7744490     std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int) const [30]
                0.01    0.00 7744490/7744490     std::vector<std::vector<Operation, std::allocator<Operation> >, std::allocator<std::vector<Operation, std::allocator<Operation> > > >::operator[](unsigned int) const [65]
                0.00    0.00  336964/849925      std::vector<int, std::allocator<int> >::vector() [74]
                0.00    0.00  336964/849925      std::vector<int, std::allocator<int> >::~vector() [75]
-----------------------------------------------
                0.00    0.06  336964/846919      Bierwirth::getPositionOperation(Data const&, Operation*) [10]
                0.01    0.10  509955/846919      Bierwirth::evaluate(Data&) [5]
[11]     3.9    0.01    0.16  846919         std::vector<int, std::allocator<int> >::resize(unsigned int, int) [11]
                0.00    0.16  846919/846919      std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [13]
                0.00    0.00 1693838/5471836     std::vector<int, std::allocator<int> >::size() const [66]
                0.00    0.00  846919/1045083     std::vector<int, std::allocator<int> >::end() [142]
-----------------------------------------------
                0.03    0.13  846919/846919      std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [13]
[12]     3.6    0.03    0.13  846919         std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [12]
                0.01    0.06 1693838/1693838     int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [18]
                0.00    0.02  846919/846919      std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const [55]
                0.00    0.01  846919/846919      int* std::__uninitialized_fill_n_a<int*, unsigned int, int, int>(int*, unsigned int, int const&, std::allocator<int>&) [62]
                0.01    0.00  846919/1382047     std::vector<int, std::allocator<int> >::begin() [52]
                0.01    0.00  846919/1699850     std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int) [36]
                0.01    0.00 1693838/5374722     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [35]
                0.00    0.01  846919/1142813     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [85]
                0.00    0.00 3387676/4441777     std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [122]
                0.00    0.00  846919/849925      std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int) [158]
                0.00    0.00  846919/1704356     void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [129]
-----------------------------------------------
                0.00    0.16  846919/846919      std::vector<int, std::allocator<int> >::resize(unsigned int, int) [11]
[13]     3.6    0.00    0.16  846919         std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [13]
                0.03    0.13  846919/846919      std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [12]
-----------------------------------------------
                0.00    0.00      13/193658      getMeilleureDate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [1]
                0.00    0.08  193645/193658      Bierwirth::rechercheLocale(Data&) [4]
[14]     1.9    0.00    0.08  193658         Bierwirth::operator=(Bierwirth const&) [14]
                0.01    0.06  193658/193658      std::__cxx11::list<Operation*, std::allocator<Operation*> >::operator=(std::__cxx11::list<Operation*, std::allocator<Operation*> > const&) [17]
                0.01    0.01  193658/193658      std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [56]
-----------------------------------------------
                0.00    0.00     640/55413921     Data::lireInstance(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [118]
                0.07    0.00 55413281/55413921     Bierwirth::evaluate(Data&) [5]
[15]     1.6    0.07    0.00 55413921         std::vector<std::vector<Operation, std::allocator<Operation> >, std::allocator<std::vector<Operation, std::allocator<Operation> > > >::operator[](unsigned int) [15]
-----------------------------------------------
                0.00    0.00     600/55413881     Data::lireInstance(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [118]
                0.07    0.00 55413281/55413881     Bierwirth::evaluate(Data&) [5]
[16]     1.6    0.07    0.00 55413881         std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int) [16]
-----------------------------------------------
                0.01    0.06  193658/193658      Bierwirth::operator=(Bierwirth const&) [14]
[17]     1.5    0.01    0.06  193658         std::__cxx11::list<Operation*, std::allocator<Operation*> >::operator=(std::__cxx11::list<Operation*, std::allocator<Operation*> > const&) [17]
                0.03    0.00 3612944/3654722     std::_List_const_iterator<Operation*>::operator++() [31]
                0.01    0.00 3612944/3654722     std::_List_const_iterator<Operation*>::operator*() const [68]
                0.01    0.00 3625657/3674950     std::_List_const_iterator<Operation*>::operator!=(std::_List_const_iterator<Operation*> const&) const [67]
                0.00    0.01    7515/7515        void std::__cxx11::list<Operation*, std::allocator<Operation*> >::insert<std::_List_const_iterator<Operation*> >(std::_List_iterator<Operation*>, std::_List_const_iterator<Operation*>, std::_List_const_iterator<Operation*>) [90]
                0.00    0.00  193658/756595      std::__cxx11::list<Operation*, std::allocator<Operation*> >::begin() [94]
                0.00    0.00  193658/745041      std::__cxx11::list<Operation*, std::allocator<Operation*> >::end() [95]
                0.00    0.00  186143/186143      std::__cxx11::list<Operation*, std::allocator<Operation*> >::erase(std::_List_iterator<Operation*>, std::_List_iterator<Operation*>) [113]
                0.00    0.00 3806602/4513127     std::_List_iterator<Operation*>::operator!=(std::_List_iterator<Operation*> const&) const [121]
                0.00    0.00 3612944/4952526     std::_List_iterator<Operation*>::operator*() const [120]
                0.00    0.00 3612944/4115034     std::_List_iterator<Operation*>::operator++() [123]
                0.00    0.00  193658/193658      std::__cxx11::list<Operation*, std::allocator<Operation*> >::begin() const [244]
                0.00    0.00  193658/193658      std::__cxx11::list<Operation*, std::allocator<Operation*> >::end() const [243]
                0.00    0.00  193658/193658      std::_List_const_iterator<Operation*>::operator==(std::_List_const_iterator<Operation*> const&) const [240]
-----------------------------------------------
                0.01    0.06 1693838/1693838     std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [12]
[18]     1.5    0.01    0.06 1693838         int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [18]
                0.00    0.06 1693838/1696844     int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) [20]
-----------------------------------------------
                0.01    0.05 1696844/1696844     int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) [20]
[19]     1.3    0.01    0.05 1696844         int* std::uninitialized_copy<int*, int*>(int*, int*, int*) [19]
                0.00    0.05 1696844/1696844     int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) [21]
-----------------------------------------------
                0.00    0.00    3006/1696844     int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<int*>(unsigned int, int*, int*) [115]
                0.00    0.06 1693838/1696844     int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [18]
[20]     1.3    0.00    0.06 1696844         int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) [20]
                0.01    0.05 1696844/1696844     int* std::uninitialized_copy<int*, int*>(int*, int*, int*) [19]
-----------------------------------------------
                0.00    0.05 1696844/1696844     int* std::uninitialized_copy<int*, int*>(int*, int*, int*) [19]
[21]     1.1    0.00    0.05 1696844         int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) [21]
                0.00    0.05 1696844/1696844     int* std::copy<int*, int*>(int*, int*, int*) [22]
-----------------------------------------------
                0.00    0.05 1696844/1696844     int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) [21]
[22]     1.1    0.00    0.05 1696844         int* std::copy<int*, int*>(int*, int*, int*) [22]
                0.01    0.02 1696844/1696844     int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) [29]
                0.01    0.00 3393688/3393688     std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*) [59]
-----------------------------------------------
                0.00    0.04   26666/26666       Bierwirth::rechercheLocale(Data&) [4]
[23]     1.0    0.00    0.04   26666         Bierwirth::rechercheMorceauxInteressants(std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >&) [23]
                0.00    0.04  362068/362068      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::push_back(std::pair<Operation*, Operation*> const&) [28]
                0.00    0.00   26666/26666       std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::clear() [96]
                0.00    0.00  502090/745041      std::__cxx11::list<Operation*, std::allocator<Operation*> >::end() [95]
                0.00    0.00   26666/26666       std::__cxx11::list<Operation*, std::allocator<Operation*> >::front() [111]
                0.00    0.00   26666/756595      std::__cxx11::list<Operation*, std::allocator<Operation*> >::begin() [94]
                0.00    0.00 1312916/4952526     std::_List_iterator<Operation*>::operator*() const [120]
                0.00    0.00  950848/950848      Operation::getNumeroJob() const [146]
                0.00    0.00  502090/4115034     std::_List_iterator<Operation*>::operator++() [123]
                0.00    0.00  502090/4513127     std::_List_iterator<Operation*>::operator!=(std::_List_iterator<Operation*> const&) const [121]
                0.00    0.00  362068/362068      std::pair<Operation*, Operation*>::pair(Operation* const&, Operation* const&) [203]
-----------------------------------------------
                0.02    0.02  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&) [25]
[24]     0.9    0.02    0.02  169985         std::vector<Operation*, std::allocator<Operation*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&) [24]
                0.00    0.02  169985/169985      Operation** std::__uninitialized_fill_n_a<Operation**, unsigned int, Operation*, Operation*>(Operation**, unsigned int, Operation* const&, std::allocator<Operation*>&) [43]
                0.00    0.00  679940/849925      std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_get_Tp_allocator() [157]
                0.00    0.00  339970/679940      __gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >::base() const [169]
                0.00    0.00  339970/339970      Operation** std::__uninitialized_move_if_noexcept_a<Operation**, Operation**, std::allocator<Operation*> >(Operation**, Operation**, Operation**, std::allocator<Operation*>&) [229]
                0.00    0.00  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::_M_check_len(unsigned int, char const*) const [253]
                0.00    0.00  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::begin() [262]
                0.00    0.00  169985/169985      __gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >::difference_type __gnu_cxx::operator-<Operation**, std::vector<Operation*, std::allocator<Operation*> > >(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > > const&, __gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > > const&) [252]
                0.00    0.00  169985/169985      std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_allocate(unsigned int) [256]
                0.00    0.00  169985/339970      void std::_Destroy<Operation**, Operation*>(Operation**, Operation**, std::allocator<Operation*>&) [232]
                0.00    0.00  169985/339970      std::_Vector_base<Operation*, std::allocator<Operation*> >::_M_deallocate(Operation**, unsigned int) [223]
-----------------------------------------------
                0.00    0.04  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::resize(unsigned int, Operation*) [26]
[25]     0.9    0.00    0.04  169985         std::vector<Operation*, std::allocator<Operation*> >::insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&) [25]
                0.02    0.02  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&) [24]
-----------------------------------------------
                0.00    0.04  169985/169985      Bierwirth::evaluate(Data&) [5]
[26]     0.9    0.00    0.04  169985         std::vector<Operation*, std::allocator<Operation*> >::resize(unsigned int, Operation*) [26]
                0.00    0.04  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&) [25]
                0.00    0.00  339970/1019910     std::vector<Operation*, std::allocator<Operation*> >::size() const [144]
                0.00    0.00  169985/169985      std::vector<Operation*, std::allocator<Operation*> >::end() [261]
-----------------------------------------------
                0.01    0.03  362068/362068      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::push_back(std::pair<Operation*, Operation*> const&) [28]
[27]     0.8    0.01    0.03  362068         std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_insert(std::_List_iterator<std::pair<Operation*, Operation*> >, std::pair<Operation*, Operation*> const&) [27]
                0.00    0.03  362068/362068      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_create_node(std::pair<Operation*, Operation*> const&) [32]
                0.00    0.00  362068/362068      std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_inc_size(unsigned int) [204]
-----------------------------------------------
                0.00    0.04  362068/362068      Bierwirth::rechercheMorceauxInteressants(std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >&) [23]
[28]     0.8    0.00    0.04  362068         std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::push_back(std::pair<Operation*, Operation*> const&) [28]
                0.01    0.03  362068/362068      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_insert(std::_List_iterator<std::pair<Operation*, Operation*> >, std::pair<Operation*, Operation*> const&) [27]
                0.00    0.00  362068/557216      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::end() [173]
-----------------------------------------------
                0.01    0.02 1696844/1696844     int* std::copy<int*, int*>(int*, int*, int*) [22]
[29]     0.8    0.01    0.02 1696844         int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) [29]
                0.01    0.01 5090532/5937451     std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) [54]
                0.00    0.01 1696844/1696844     int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) [84]
-----------------------------------------------
                0.03    0.00 7744490/7744490     Bierwirth::getPositionOperation(Data const&, Operation*) [10]
[30]     0.7    0.03    0.00 7744490         std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int) const [30]
-----------------------------------------------
                0.00    0.00   41778/3654722     void std::__cxx11::list<Operation*, std::allocator<Operation*> >::_M_initialize_dispatch<std::_List_const_iterator<Operation*> >(std::_List_const_iterator<Operation*>, std::_List_const_iterator<Operation*>, std::__false_type) [104]
                0.03    0.00 3612944/3654722     std::__cxx11::list<Operation*, std::allocator<Operation*> >::operator=(std::__cxx11::list<Operation*, std::allocator<Operation*> > const&) [17]
[31]     0.7    0.03    0.00 3654722         std::_List_const_iterator<Operation*>::operator++() [31]
-----------------------------------------------
                0.00    0.03  362068/362068      std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_insert(std::_List_iterator<std::pair<Operation*, Operation*> >, std::pair<Operation*, Operation*> const&) [27]
[32]     0.6    0.00    0.03  362068         std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_create_node(std::pair<Operation*, Operation*> const&) [32]
                0.01    0.00  362068/362068      std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_get_node() [82]
                0.01    0.00  362068/362068      __gnu_cxx::new_allocator<std::pair<Operation*, Operation*> >::construct(std::pair<Operation*, Operation*>*, std::pair<Operation*, Operation*> const&) [81]
                0.00    0.01  362068/724136      std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_get_Tp_allocator() const [77]
                0.00    0.00  362068/1061100     std::pair<Operation*, Operation*>* std::__addressof<std::pair<Operation*, Operation*> >(std::pair<Operation*, Operation*>&) [141]
                0.00    0.00  362068/724136      std::allocator<std::pair<Operation*, Operation*> >::~allocator() [165]
-----------------------------------------------
                0.02    0.00 11970875/11970875     Bierwirth::evaluate(Data&) [5]
[33]     0.5    0.02    0.00 11970875         Operation::setPere(Operation*) [33]
-----------------------------------------------
                0.02    0.00 11970875/11970875     Bierwirth::evaluate(Data&) [5]
[34]     0.5    0.02    0.00 11970875         int const& std::max<int>(int const&, int const&) [34]
-----------------------------------------------
                0.00    0.00  193658/5374722     std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [106]
                0.00    0.00 1201600/5374722     bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [98]
                0.01    0.00 1693838/5374722     std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) [12]
